week,continent,country,region_weekly_visits,unique_ips_weekly,language_weekly_visits,weekly_most_common_points,top_10_books_weekly,visit_type1_counts,visit_type2_counts,visit_type3_counts,visit_type4_counts
2022-03-14/2022-03-20,Africa,Angola,0,0,,,,0,0,0,0
2022-03-21/2022-03-27,Africa,Angola,0,0,,,,0,0,0,0
2022-03-28/2022-04-03,Africa,Angola,0,0,,,,0,0,0,0
2022-04-04/2022-04-10,Africa,Angola,1,1,en: 1,-11.7833_19.9167: 1,575774: 1,0,0,0,1
2022-04-11/2022-04-17,Africa,Angola,0,0,,,,0,0,0,0
2022-04-18/2022-04-24,Africa,Angola,0,0,,,,0,0,0,0
2022-04-25/2022-05-01,Africa,Angola,0,0,,,,0,0,0,0
2022-05-02/2022-05-08,Africa,Angola,0,0,,,,0,0,0,0
2022-05-09/2022-05-15,Africa,Angola,0,0,,,,0,0,0,0
2022-05-16/2022-05-22,Africa,Angola,0,0,,,,0,0,0,0
2022-05-23/2022-05-29,Africa,Angola,0,0,,,,0,0,0,0
2022-05-30/2022-06-05,Africa,Angola,0,0,,,,0,0,0,0
2022-06-06/2022-06-12,Africa,Angola,0,0,,,,0,0,0,0
2022-06-13/2022-06-19,Africa,Angola,0,0,,,,0,0,0,0
2022-06-20/2022-06-26,Africa,Angola,0,0,,,,0,0,0,0
2022-06-27/2022-07-03,Africa,Angola,0,0,,,,0,0,0,0
2022-07-04/2022-07-10,Africa,Angola,0,0,,,,0,0,0,0
2022-07-11/2022-07-17,Africa,Angola,0,0,,,,0,0,0,0
2022-07-18/2022-07-24,Africa,Angola,0,0,,,,0,0,0,0
2022-07-25/2022-07-31,Africa,Angola,0,0,,,,0,0,0,0
2022-08-01/2022-08-07,Africa,Angola,0,0,,,,0,0,0,0
2022-08-08/2022-08-14,Africa,Angola,0,0,,,,0,0,0,0
2022-08-15/2022-08-21,Africa,Angola,0,0,,,,0,0,0,0
2022-08-22/2022-08-28,Africa,Angola,0,0,,,,0,0,0,0
2022-08-29/2022-09-04,Africa,Angola,0,0,,,,0,0,0,0
2022-09-05/2022-09-11,Africa,Angola,0,0,,,,0,0,0,0
2022-09-12/2022-09-18,Africa,Angola,0,0,,,,0,0,0,0
2022-09-19/2022-09-25,Africa,Angola,0,0,,,,0,0,0,0
2022-09-26/2022-10-02,Africa,Angola,0,0,,,,0,0,0,0
2022-02-28/2022-03-06,Africa,Botswana,0,0,,,,0,0,0,0
2022-03-07/2022-03-13,Africa,Botswana,0,0,,,,0,0,0,0
2022-03-14/2022-03-20,Africa,Botswana,0,0,,,,0,0,0,0
2022-03-21/2022-03-27,Africa,Botswana,0,0,,,,0,0,0,0
2022-03-28/2022-04-03,Africa,Botswana,0,0,,,,0,0,0,0
2022-04-04/2022-04-10,Africa,Botswana,0,0,,,,0,0,0,0
2022-04-11/2022-04-17,Africa,Botswana,0,0,,,,0,0,0,0
2022-04-18/2022-04-24,Africa,Botswana,0,0,,,,0,0,0,0
2022-04-25/2022-05-01,Africa,Botswana,1,1,en: 1,-21.4149_25.5926: 1,211962: 1,0,0,0,1
2022-05-02/2022-05-08,Africa,Botswana,0,0,,,,0,0,0,0
2022-05-09/2022-05-15,Africa,Botswana,0,0,,,,0,0,0,0
2022-05-16/2022-05-22,Africa,Botswana,0,0,,,,0,0,0,0
2022-05-23/2022-05-29,Africa,Botswana,0,0,,,,0,0,0,0
2022-05-30/2022-06-05,Africa,Botswana,0,0,,,,0,0,0,0
2022-06-06/2022-06-12,Africa,Botswana,0,0,,,,0,0,0,0
2022-06-13/2022-06-19,Africa,Botswana,0,0,,,,0,0,0,0
2022-06-20/2022-06-26,Africa,Botswana,0,0,,,,0,0,0,0
2022-06-27/2022-07-03,Africa,Botswana,0,0,,,,0,0,0,0
2022-07-04/2022-07-10,Africa,Botswana,0,0,,,,0,0,0,0
2022-07-11/2022-07-17,Africa,Botswana,0,0,,,,0,0,0,0
2022-07-18/2022-07-24,Africa,Botswana,0,0,,,,0,0,0,0
2022-07-25/2022-07-31,Africa,Botswana,0,0,,,,0,0,0,0
2022-08-01/2022-08-07,Africa,Botswana,0,0,,,,0,0,0,0
2022-08-08/2022-08-14,Africa,Botswana,0,0,,,,0,0,0,0
2022-08-15/2022-08-21,Africa,Botswana,0,0,,,,0,0,0,0
2022-08-22/2022-08-28,Africa,Botswana,0,0,,,,0,0,0,0
2022-08-29/2022-09-04,Africa,Botswana,0,0,,,,0,0,0,0
2022-09-05/2022-09-11,Africa,Botswana,0,0,,,,0,0,0,0
2022-09-12/2022-09-18,Africa,Botswana,0,0,,,,0,0,0,0
2022-09-19/2022-09-25,Africa,Botswana,0,0,,,,0,0,0,0
2022-09-26/2022-10-02,Africa,Botswana,0,0,,,,0,0,0,0
2022-02-28/2022-03-06,Africa,Burkina Faso,0,0,,,,0,0,0,0
2022-03-07/2022-03-13,Africa,Burkina Faso,0,0,,,,0,0,0,0
2022-03-14/2022-03-20,Africa,Burkina Faso,0,0,,,,0,0,0,0
2022-03-21/2022-03-27,Africa,Burkina Faso,0,0,,,,0,0,0,0
2022-03-28/2022-04-03,Africa,Burkina Faso,0,0,,,,0,0,0,0
2022-04-04/2022-04-10,Africa,Burkina Faso,0,0,,,,0,0,0,0
2022-04-11/2022-04-17,Africa,Burkina Faso,0,0,,,,0,0,0,0
2022-04-18/2022-04-24,Africa,Burkina Faso,0,0,,,,0,0,0,0
2022-04-25/2022-05-01,Africa,Burkina Faso,0,0,,,,0,0,0,0
2022-05-02/2022-05-08,Africa,Burkina Faso,0,0,,,,0,0,0,0
2022-05-09/2022-05-15,Africa,Burkina Faso,0,0,,,,0,0,0,0
2022-05-16/2022-05-22,Africa,Burkina Faso,0,0,,,,0,0,0,0
2022-05-23/2022-05-29,Africa,Burkina Faso,0,0,,,,0,0,0,0
2022-05-30/2022-06-05,Africa,Burkina Faso,0,0,,,,0,0,0,0
2022-06-06/2022-06-12,Africa,Burkina Faso,0,0,,,,0,0,0,0
2022-06-13/2022-06-19,Africa,Burkina Faso,0,0,,,,0,0,0,0
2022-06-20/2022-06-26,Africa,Burkina Faso,0,0,,,,0,0,0,0
2022-06-27/2022-07-03,Africa,Burkina Faso,0,0,,,,0,0,0,0
2022-07-04/2022-07-10,Africa,Burkina Faso,0,0,,,,0,0,0,0
2022-07-11/2022-07-17,Africa,Burkina Faso,0,0,,,,0,0,0,0
2022-07-18/2022-07-24,Africa,Burkina Faso,0,0,,,,0,0,0,0
2022-07-25/2022-07-31,Africa,Burkina Faso,0,0,,,,0,0,0,0
2022-08-01/2022-08-07,Africa,Burkina Faso,1,1,en: 1,12.3657_-1.53388: 1,570369: 1,0,0,0,1
2022-08-08/2022-08-14,Africa,Burkina Faso,0,0,,,,0,0,0,0
2022-08-15/2022-08-21,Africa,Burkina Faso,0,0,,,,0,0,0,0
2022-08-22/2022-08-28,Africa,Burkina Faso,0,0,,,,0,0,0,0
2022-08-29/2022-09-04,Africa,Burkina Faso,0,0,,,,0,0,0,0
2022-09-05/2022-09-11,Africa,Burkina Faso,0,0,,,,0,0,0,0
2022-09-12/2022-09-18,Africa,Burkina Faso,0,0,,,,0,0,0,0
2022-09-19/2022-09-25,Africa,Burkina Faso,0,0,,,,0,0,0,0
2022-09-26/2022-10-02,Africa,Burkina Faso,0,0,,,,0,0,0,0
2022-02-28/2022-03-06,Africa,Cabo Verde,0,0,,,,0,0,0,0
2022-03-07/2022-03-13,Africa,Cabo Verde,0,0,,,,0,0,0,0
2022-03-14/2022-03-20,Africa,Cabo Verde,0,0,,,,0,0,0,0
2022-03-21/2022-03-27,Africa,Cabo Verde,0,0,,,,0,0,0,0
2022-03-28/2022-04-03,Africa,Cabo Verde,0,0,,,,0,0,0,0
2022-04-04/2022-04-10,Africa,Cabo Verde,0,0,,,,0,0,0,0
